school_nm,network_num,school_id,y,sch_type,sch_addr,x,grades,lon,lat,ACT Composite Average,Percent Free/Reduced Lunch,Cohort Dropout Rates 2016,Cohort Graduation Rates 2016
Northside College Prep,Network 1,609749,41.98131528,District,"5501 N Kedzie Ave, 60625",-87.7087078,"9, 10, 11, 12",-87.7087078,41.98131528,29.5,41.25,0.7,97.8
Roosevelt,Network 1,609728,41.96482788,District,"3436 W Wilson Ave, 60625",-87.71481862,"9, 10, 11, 12",-87.71481862,41.96482788,15.5,91.32,28.3,66.9
Schurz,Network 1,609729,41.94636454,District,"3601 N Milwaukee Ave, 60641",-87.73561211,"9, 10, 11, 12",-87.73561211,41.94636454,16.4,91,21.2,72.5
Taft,Network 1,609734,41.98296099,District,"6530 W Bryn Mawr Ave, 60631",-87.79154725,"7, 8, 9, 10, 11, 12",-87.79154725,41.98296099,18.9,53.12,12.6,85.2
Von Steuben,Network 1,609737,41.97318505,District,"5039 N Kimball Ave, 60625",-87.71338625,"9, 10, 11, 12",-87.71338625,41.97318505,21.3,74.96,9.5,88.8
Bogan,Network 10,609698,41.74937561,District,"3939 W 79th St, 60652",-87.72109745,"9, 10, 11, 12",-87.72109745,41.74937561,14.9,92.48,21.1,75.7
Chicago High School for Agricultural Sciences,Network 10,609753,41.69122074,District,"3857 W 111th St, 60655",-87.71776967,"9, 10, 11, 12",-87.71776967,41.69122074,20.2,44.58,10.3,74.7
Hubbard,Network 10,609741,41.78052639,District,"6200 S Hamlin Ave, 60629",-87.71801374,"9, 10, 11, 12",-87.71801374,41.78052639,17.1,94.86,13.8,82.9
Kennedy,Network 10,609718,41.78996125,District,"6325 W 56th St, 60638",-87.78083976,"9, 10, 11, 12",-87.78083976,41.78996125,18.1,75.93,24.7,68.8
Morgan Park,Network 10,609725,41.69203501,District,"1744 W Pryor Ave, 60643",-87.66565755,"7, 8, 9, 10, 11, 12",-87.66565755,41.69203501,17.3,85.63,15.7,79.6
Harper,Network 11,609711,41.77512408,District,"6520 S Wood St, 60636",-87.6690893,"9, 10, 11, 12",-87.6690893,41.77512408,14.6,99.4,31.9,62.1
Hope College Prep,Network 11,609768,41.79355347,District,"5515 S Lowe Ave, 60621",-87.64124411,"9, 10, 11, 12",-87.64124411,41.79355347,14.7,99.26,25,71.4
Lindblom,Network 11,610391,41.7820408,District,"6130 S Wolcott Ave, 60636",-87.67166185,"7, 8, 9, 10, 11, 12",-87.67166185,41.7820408,22.9,64.45,5.7,89.2
Robeson,Network 11,609707,41.7697138,District,"6835 S Normal Blvd, 60621",-87.63715272,"9, 10, 11, 12",-87.63715272,41.7697138,13.2,100,50,39.4
Simeon,Network 11,609692,41.74578123,District,"8147 S Vincennes Ave, 60620",-87.63541037,"9, 10, 11, 12",-87.63541037,41.74578123,16.2,90.93,13.8,80.7
Team Englewood Community,Network 11,610506,41.7814849,District,"6201 S Stewart Ave, 60621",-87.63301879,"9, 10, 11, 12",-87.63301879,41.7814849,14.3,89.38,21,73.9
Bowen,Network 12,610323,41.73462672,District,"2710 E 89th St, 60617",-87.55755003,"9, 10, 11, 12",-87.55755003,41.73462672,14.6,89.02,25.3,63.7
Chicago Vocational,Network 12,609674,41.73717393,District,"2100 E 87th St, 60617",-87.57326752,"9, 10, 11, 12",-87.57326752,41.73717393,15.6,93.93,20.5,72.6
Harlan,Network 12,609710,41.71837235,District,"9652 S Michigan Ave, 60628",-87.62062344,"7, 8, 9, 10, 11, 12",-87.62062344,41.71837235,15.2,93.39,34,54.6
Hirsch,Network 12,609712,41.75374796,District,"7740 S Ingleside Ave, 60619",-87.60172727,"9, 10, 11, 12",-87.60172727,41.75374796,13.1,96.69,52.6,36.1
South Shore International,Network 12,610547,41.75879166,District,"1955 E 75th St, 60649",-87.57635264,"9, 10, 11, 12",-87.57635264,41.75879166,17.9,84.09,20.2,71
Brooks,Network 13,609726,41.69276253,District,"250 E 111th St, 60628",-87.61635261,"9, 10, 11, 12",-87.61635261,41.69276253,22.5,71.83,4.4,93.4
Corliss,Network 13,609761,41.70665962,District,"821 E 103rd St, 60628",-87.60121588,"9, 10, 11, 12",-87.60121588,41.70665962,14.3,92.99,26.2,62.6
