SchoolID,School Name,network_num,Cohort Dropout Rates 2016,Cohort Graduation Rates 2016
609749,NORTHSIDE PREP HS,Network 1,1.10%,96.60%
609728,ROOSEVELT HS,Network 1,24.30%,63.20%
609729,SCHURZ HS,Network 1,17.50%,69.40%
609734,TAFT HS,Network 1,8.90%,84.20%
609737,VON STEUBEN HS,Network 1,4.40%,86.60%
,,Network 1,11.20%,80.00%
609698,BOGAN HS,Network 10,15.40%,67.50%
609753,CHICAGO AGRICULTURE HS,Network 10,4.60%,81.10%
610558,GOODE HS,Network 10,4.40%,91.70%
609741,HUBBARD HS,Network 10,8.90%,81.00%
609718,KENNEDY HS,Network 10,16.20%,69.20%
609725,MORGAN PARK HS,Network 10,9.70%,77.30%
,,Network 10,9.90%,78.00%
609711,HARPER HS,Network 11,29.70%,53.40%
609768,HOPE HS,Network 11,30.90%,53.60%
610391,LINDBLOM HS,Network 11,2.70%,87.60%
609707,ROBESON HS,Network 11,30.10%,46.20%
609692,SIMEON HS,Network 11,8.90%,81.30%
610506,TEAM HS,Network 11,20.50%,68.70%
,,Network 11,20.50%,65.10%
610323,BOWEN HS,Network 12,25.00%,56.00%
609674,CHICAGO VOCATIONAL HS,Network 12,17.60%,70.20%
609710,HARLAN HS,Network 12,35.50%,51.70%
609712,HIRSCH HS,Network 12,34.30%,31.40%
610547,SOUTH SHORE INTL HS,Network 12,4.10%,85.80%
,,Network 12,23.30%,59.00%
609761,CORLISS HS,Network 13,21.20%,58.60%
609705,FENGER HS,Network 13,29.90%,51.50%
609762,JULIAN HS,Network 13,13.70%,65.60%
609739,WASHINGTON HS,Network 13,10.80%,79.00%
,,Network 13,18.90%,63.70%
609695,AMUNDSEN HS,Network 2,17.50%,71.80%
609719,LAKE VIEW HS,Network 2,10.30%,83.80%
609724,MATHER HS,Network 2,13.60%,72.80%
609730,SENN HS,Network 2,9.00%,83.20%
609733,SULLIVAN HS,Network 2,25.40%,63.00%
610394,UPLIFT HS,Network 2,24.00%,57.30%
,,Network 2,16.60%,72.00%
400018,AUSTIN BUS & ENTRP HS,Network 3,15.60%,62.50%
610244,CLARK HS,Network 3,9.00%,79.30%
610245,DOUGLASS HS,Network 3,26.60%,53.10%
609708,FOREMAN HS,Network 3,29.70%,58.00%
609679,PROSSER HS,Network 3,7.30%,85.60%
609732,STEINMETZ HS,Network 3,16.30%,69.50%
610518,VOISE HS,Network 3,17.50%,74.20%
,,Network 3,17.40%,68.90%
610524,ALCOTT HS,Network 4,9.40%,75.00%
609716,KELVYN PARK HS,Network 4,23.90%,60.80%
609720,LANE TECH HS,Network 4,1.70%,93.70%
,,Network 4,11.70%,76.50%
609759,CLEMENTE HS,Network 5,12.60%,80.10%
609722,MANLEY HS,Network 5,45.10%,40.20%
609691,NORTH-GRAND HS,Network 5,13.40%,75.90%
610334,RABY HS,Network 5,20.00%,63.30%
609693,WESTINGHOUSE HS,Network 5,2.50%,91.50%
,,Network 5,18.70%,70.20%
610529,OGDEN HS,Network 6,5.20%,90.40%
609740,WELLS HS,Network 6,18.80%,72.50%
,,Network 6,12.00%,81.50%
609704,FARRAGUT HS,Network 7,26.20%,56.60%
610384,INFINITY HS,Network 7,6.50%,88.80%
610385,MULTICULTURAL HS,Network 7,13.30%,80.00%
610383,SOCIAL JUSTICE HS,Network 7,19.40%,71.60%
610357,SPRY HS,Network 7,14.50%,81.80%
610392,WORLD LANGUAGE HS,Network 7,10.10%,83.80%
,,Network 7,15.00%,77.10%
609756,CURIE HS,Network 8,10.40%,72.80%
609709,GAGE PARK HS,Network 8,28.50%,62.60%
609694,HANCOCK HS,Network 8,12.20%,84.20%
609715,KELLY HS,Network 8,12.70%,72.40%
609682,RICHARDS HS,Network 8,30.60%,55.60%
609735,TILDEN HS,Network 8,35.60%,52.50%
,,Network 8,21.70%,66.70%
610381,BRONZEVILLE HS,Network 9,15.70%,73.00%
609676,DUNBAR HS,Network 9,25.80%,58.90%
609713,HYDE PARK HS,Network 9,30.90%,52.70%
609746,KENWOOD HS,Network 9,7.80%,81.20%
609751,KING HS,Network 9,5.90%,86.80%
610380,WILLIAMS HS,Network 9,10.10%,79.70%
,,Network 9,16.00%,72.10%
