network_num,Personnel,Non-Personnel,FY16 Budget
Network 1,1100048,35629,1135677
Network 2,1046284,58095,1104379
Network 3,1381681,76615,1458296
Network 4,978471,130434,1108905
Network 5,1220693,87860,1308553
Network 6,1128549,37672,1166221
Network 7,1079136,192085,1271221
Network 8,1190695,76570,1267265
Network 9,1138689,156780,1295469
Network 10,876059,233128,1109187
Network 11,1584094,18008,1602102
Network 12,1118193,183298,1301491
Network 13,1322785,-39816,1282969
Total,15165377,1246358,16411735
