school_nm,network_num,school_id,y,sch_type,sch_addr,x,grades,lon,lat
CHGO MATH & SCI ACAD CHTR HS,Network 2,400035,42.01303149,Charter,"7212 N Clark St, 60626",-87.67481842,"6, 7, 8, 9, 10, 11, 12",-87.67481842,42.01303149
CICS - ELLISON,Network 11,400032,41.74838241,Charter,"1817 W 80th St, 60620",-87.66897964,"9, 10, 11, 12",-87.66897964,41.74838241
CICS - HAWKINS,Network 13,400108,41.65314106,Charter,"801 E 133rd Pl, 60827",-87.60187328,"7, 8, 9, 10, 11, 12",-87.60187328,41.65314106
CICS - NORTHTOWN,Network 1,400034,41.99024501,Charter,"3900 W Peterson Ave, 60659",-87.72650426,"9, 10, 11, 12",-87.72650426,41.99024501
EPIC CHTR HS,Network 12,400094,41.74484911,Charter,"8255 S Houston Ave, 60617",-87.55022237,"9, 10, 11, 12",-87.55022237,41.74484911
INSTITUTO CHTR - HEALTH SCIENCES,Network 7,400104,41.84596659,Charter,"2520 S Western Ave, 60608",-87.68724016,"9, 10, 11, 12",-87.68724016,41.84596659
NOBLE CHTR - CHGO BULLS,Network 6,400097,41.87880881,Charter,"2040 W Adams St, 60612",-87.67819526,"9, 10, 11, 12",-87.67819526,41.87880881
NOBLE CHTR - COMER,Network 12,400052,41.76408299,Charter,"7200 S Ingleside Ave, 60619",-87.60197357,"6, 7, 8, 9, 10, 11, 12",-87.60197357,41.76408299
NOBLE CHTR - GOLDER,Network 6,400053,41.89528219,Charter,"1454 W Superior St, 60642",-87.664483,"9, 10, 11, 12",-87.664483,41.89528219
NOBLE CHTR - JOHNSON,Network 11,400106,41.7783695,Charter,"6350 S Stewart Ave, 60621",-87.6351167,"9, 10, 11, 12",-87.6351167,41.7783695
NOBLE CHTR - MUCHIN,Network 6,400098,41.88274026,Charter,"1 N State St, 60602",-87.62633828,"9, 10, 11, 12",-87.62633828,41.88274026
NOBLE CHTR - NOBLE,Network 6,400051,41.90019052,Charter,"1010 N Noble St, 60642",-87.66262778,"9, 10, 11, 12",-87.66262778,41.90019052
NOBLE CHTR - PRITZKER,Network 4,400054,41.91521411,Charter,"4131 W Cortland Ave, 60639",-87.73012672,"9, 10, 11, 12",-87.73012671,41.91521411
NOBLE CHTR - RAUNER,Network 6,400055,41.89242501,Charter,"1337 W Ohio St, 60642",-87.66085887,"9, 10, 11, 12",-87.66085887,41.89242501
NOBLE CHTR - ROWE CLARK,Network 5,400056,41.89536226,Charter,"3645 W Chicago Ave, 60651",-87.71804677,"9, 10, 11, 12",-87.71804677,41.89536226
NOBLE CHTR - UIC,Network 6,400057,41.86581741,Charter,"1231 S Damen Ave, 60608",-87.67611093,"9, 10, 11, 12",-87.67611093,41.86581741
NORTH LAWNDALE CHTR - COLLINS,Network 5,400059,41.86414584,Charter,"1313 S Sacramento Dr, 60623",-87.7006806,"9, 10, 11, 12",-87.7006806,41.86414584
NTH LAWNDALE CHTR - CHRISTIANA,Network 5,400058,41.85856355,Charter,"1615 S. Christiana Ave., 60623",-87.70898711,"9, 10, 11, 12",-87.70898711,41.85856355
PERSPECTIVES CHTR - MATH & SCIENCE,Network 9,400066,41.82778386,Charter,"3663 S Wabash Ave, 60653",-87.62478772,"6, 7, 8, 9, 10, 11, 12",-87.62478772,41.82778386
PERSPECTIVES CHTR - JOSLIN,Network 6,400064,41.85599911,Charter,"1930 S Archer Ave, 60616",-87.6285309,"6, 7, 8, 9, 10, 11, 12",-87.6285309,41.8559991
PERSPECTIVES CHTR - LEADERSHIP ACADEMY,Network 11,400061,41.74596083,Charter,"8131 S May St, 60620",-87.65204509,"6, 7, 8, 9, 10, 11, 12",-87.65204509,41.74596083
PERSPECTIVES CHTR - TECH HS,Network 11,400062,41.74594902,Charter,"8131 S May St, 60620",-87.65065702,"9, 10, 11, 12",-87.65065702,41.74594902
UNIV OF CHGO CHTR - WOODLAWN,Network 9,400077,41.7781297,Charter,"6420 S University Ave, 60637",-87.59811392,"6, 7, 8, 9, 10, 11, 12",-87.59811392,41.7781297
UNO CHTR - GARCIA,Network 8,400085,41.80917079,Charter,"4248 W 47th St, 60632",-87.73046685,"9, 10, 11, 12",-87.73046685,41.80917079
URBAN PREP CHTR - BRONZEVILLE,Network 9,400105,41.83111753,Charter,"521 E 35th St, 60616",-87.61362865,"9, 10, 11, 12",-87.61362865,41.83111753
URBAN PREP CHTR - ENGLEWOOD,Network 11,400086,41.78149782,Charter,"6201 S Stewart Ave, 60621",-87.63435669,"9, 10, 11, 12",-87.63435669,41.78149782
URBAN PREP CHTR - WEST,Network 6,400102,41.86254002,Charter,"1326 W 14th Pl, 60608",-87.66010654,"9, 10, 11, 12",-87.66010654,41.86254002
YOUNG WOMEN'S LEADERSHIP CHTR,Network 9,400087,41.84454381,Charter,"2641 S Calumet Ave, 60616",-87.6187238,"7, 8, 9, 10, 11, 12",-87.6187238,41.84454381
CICS - LONGWOOD,Network 11,400033,41.72013,Charter,"1309 W 95th St, 60643",-87.65663,"9, 10, 11, 12",-87.65663,41.72013
