SchoolID,School Name,network_num,sch-type,Cohort Dropout Rates 2016,Cohort Graduation Rates 2016
400034,CICS - NORTHTOWN HS,Network 1,Charter,13.2%,83.3%
609749,NORTHSIDE PREP HS,Network 1,District,0.7%,97.8%
609728,ROOSEVELT HS,Network 1,District,28.3%,66.9%
609729,SCHURZ HS,Network 1,District,21.2%,72.5%
609734,TAFT HS,Network 1,District,12.6%,85.2%
609737,VON STEUBEN HS,Network 1,District,9.5%,88.8%
609698,BOGAN HS,Network 10,District,21.1%,75.7%
609753,CHICAGO AGRICULTURE HS,Network 10,District,10.3%,74.7%
609741,HUBBARD HS,Network 10,District,13.8%,82.9%
609718,KENNEDY HS,Network 10,District,24.7%,68.8%
609725,MORGAN PARK HS,Network 10,District,15.7%,79.6%
400032,CICS - ELLISON HS,Network 11,Charter,17.5%,78.6%
400033,CICS - LONGWOOD,Network 11,Charter,15.2%,82.6%
400106,NOBLE - JOHNSON HS,Network 11,Charter,18.0%,77.4%
400061,PERSPECTIVES - LEADERSHIP HS,Network 11,Charter,23.6%,75.2%
400062,PERSPECTIVES - TECH HS,Network 11,Charter,25.0%,73.1%
400086,URBAN PREP - ENGLEWOOD HS,Network 11,Charter,23.5%,71.3%
609711,HARPER HS,Network 11,District,31.9%,62.1%
609768,HOPE HS,Network 11,District,25.0%,71.4%
610391,LINDBLOM HS,Network 11,District,5.7%,89.2%
609707,ROBESON HS,Network 11,District,50.0%,39.4%
609692,SIMEON HS,Network 11,District,13.8%,80.7%
610506,TEAM HS,Network 11,District,21.0%,73.9%
400094,EPIC HS,Network 12,Charter,21.1%,69.9%
400052,NOBLE - COMER,Network 12,Charter,10.7%,88.1%
610323,BOWEN HS,Network 12,District,25.3%,63.7%
609674,CHICAGO VOCATIONAL HS,Network 12,District,20.5%,72.6%
609710,HARLAN HS,Network 12,District,34.0%,54.6%
609712,HIRSCH HS,Network 12,District,52.6%,36.1%
610547,SOUTH SHORE INTL HS,Network 12,District,20.2%,71.0%
400108,CICS - HAWKINS HS,Network 13,Charter,45.1%,51.2%
609726,BROOKS HS,Network 13,District,4.4%,93.4%
609761,CORLISS HS,Network 13,District,26.2%,62.6%
609705,FENGER HS,Network 13,District,44.3%,49.5%
609762,JULIAN HS,Network 13,District,20.5%,74.4%
609739,WASHINGTON HS,Network 13,District,21.0%,72.2%
400035,CHICAGO MATH & SCIENCE HS,Network 2,Charter,8.6%,85.2%
609695,AMUNDSEN HS,Network 2,District,14.2%,82.8%
609719,LAKE VIEW HS,Network 2,District,7.4%,91.2%
609724,MATHER HS,Network 2,District,23.7%,72.3%
609730,SENN HS,Network 2,District,15.0%,81.3%
