school_nm,network_num,school_id,sch_type,sch_addr,x,y,lon,lat,grades
CHGO MATH & SCI ACAD CHTR HS,Network 2,400035,Charter,"7212 N Clark St, 60626",-87.67481842,42.01303149,-87.67481842,42.01303149,"6, 7, 8, 9, 10, 11, 12"
CICS - ELLISON,Network 11,400032,Charter,"1817 W 80th St, 60620",-87.66897964,41.74838241,-87.66897964,41.74838241,"9, 10, 11, 12"
CICS - HAWKINS,Network 13,400108,Charter,"801 E 133rd Pl, 60827",-87.60187328,41.65314106,-87.60187328,41.65314106,"7, 8, 9, 10, 11, 12"
CICS - NORTHTOWN,Network 1,400034,Charter,"3900 W Peterson Ave, 60659",-87.72650426,41.99024501,-87.72650426,41.99024501,"9, 10, 11, 12"
EPIC CHTR HS,Network 12,400094,Charter,"8255 S Houston Ave, 60617",-87.55022237,41.74484911,-87.55022237,41.74484911,"9, 10, 11, 12"
INSTITUTO CHTR - HEALTH SCIENCES,Network 7,400104,Charter,"2520 S Western Ave, 60608",-87.68724016,41.84596659,-87.68724016,41.84596659,"9, 10, 11, 12"
NOBLE CHTR - CHGO BULLS,Network 6,400097,Charter,"2040 W Adams St, 60612",-87.67819526,41.87880881,-87.67819526,41.87880881,"9, 10, 11, 12"
NOBLE CHTR - COMER,Network 12,400052,Charter,"7200 S Ingleside Ave, 60619",-87.60197357,41.76408299,-87.60197357,41.76408299,"6, 7, 8, 9, 10, 11, 12"
NOBLE CHTR - GOLDER,Network 6,400053,Charter,"1454 W Superior St, 60642",-87.664483,41.89528219,-87.664483,41.89528219,"9, 10, 11, 12"
NOBLE CHTR - JOHNSON,Network 11,400106,Charter,"6350 S Stewart Ave, 60621",-87.6351167,41.7783695,-87.6351167,41.7783695,"9, 10, 11, 12"
NOBLE CHTR - MUCHIN,Network 6,400098,Charter,"1 N State St, 60602",-87.62633828,41.88274026,-87.62633828,41.88274026,"9, 10, 11, 12"
NOBLE CHTR - NOBLE,Network 6,400051,Charter,"1010 N Noble St, 60642",-87.66262778,41.90019052,-87.66262778,41.90019052,"9, 10, 11, 12"
NOBLE CHTR - PRITZKER,Network 4,400054,Charter,"4131 W Cortland Ave, 60639",-87.73012672,41.91521411,-87.73012671,41.91521411,"9, 10, 11, 12"
NOBLE CHTR - RAUNER,Network 6,400055,Charter,"1337 W Ohio St, 60642",-87.66085887,41.89242501,-87.66085887,41.89242501,"9, 10, 11, 12"
NOBLE CHTR - ROWE CLARK,Network 5,400056,Charter,"3645 W Chicago Ave, 60651",-87.71804677,41.89536226,-87.71804677,41.89536226,"9, 10, 11, 12"
NOBLE CHTR - UIC,Network 6,400057,Charter,"1231 S Damen Ave, 60608",-87.67611093,41.86581741,-87.67611093,41.86581741,"9, 10, 11, 12"
NORTH LAWNDALE CHTR - COLLINS,Network 5,400059,Charter,"1313 S Sacramento Dr, 60623",-87.7006806,41.86414584,-87.7006806,41.86414584,"9, 10, 11, 12"
NORTH LAWNDALE CHTR - CHRISTIANA,Network 5,400058,Charter,"1615 S. Christiana Ave., 60623",-87.70898711,41.85856355,-87.70898711,41.85856355,"9, 10, 11, 12"
PERSPECTIVES CHTR - MATH & SCIENCE,Network 9,400066,Charter,"3663 S Wabash Ave, 60653",-87.62478772,41.82778386,-87.62478772,41.82778386,"6, 7, 8, 9, 10, 11, 12"
PERSPECTIVES CHTR - JOSLIN,Network 6,400064,Charter,"1930 S Archer Ave, 60616",-87.6285309,41.85599911,-87.6285309,41.8559991,"6, 7, 8, 9, 10, 11, 12"
PERSPECTIVES CHTR - LEADERSHIP ACADEMY,Network 11,400061,Charter,"8131 S May St, 60620",-87.65204509,41.74596083,-87.65204509,41.74596083,"6, 7, 8, 9, 10, 11, 12"
PERSPECTIVES CHTR - TECH HS,Network 11,400062,Charter,"8131 S May St, 60620",-87.65065702,41.74594902,-87.65065702,41.74594902,"9, 10, 11, 12"
UNIV OF CHGO CHTR - WOODLAWN,Network 9,400077,Charter,"6420 S University Ave, 60637",-87.59811392,41.7781297,-87.59811392,41.7781297,"6, 7, 8, 9, 10, 11, 12"
UNO CHTR - GARCIA,Network 8,400085,Charter,"4248 W 47th St, 60632",-87.73046685,41.80917079,-87.73046685,41.80917079,"9, 10, 11, 12"
URBAN PREP CHTR - BRONZEVILLE,Network 9,400105,Charter,"521 E 35th St, 60616",-87.61362865,41.83111753,-87.61362865,41.83111753,"9, 10, 11, 12"
URBAN PREP CHTR - ENGLEWOOD,Network 11,400086,Charter,"6201 S Stewart Ave, 60621",-87.63435669,41.78149782,-87.63435669,41.78149782,"9, 10, 11, 12"
URBAN PREP CHTR - WEST,Network 6,400102,Charter,"1326 W 14th Pl, 60608",-87.66010654,41.86254002,-87.66010654,41.86254002,"9, 10, 11, 12"
YCCS CHTR - CCA ACADEMY,Network 5,400128,Charter,"1231 S Pulaski Rd, 60623",-87.72366217,41.86494335,-87.72366217,41.86494335,"10, 11, 12"
YCCS CHTR - CHATHAM,Network 12,400150,Charter,"9035 S Langley Ave, 60619",-87.60697991,41.73013139,-87.60697991,41.73013138,"10, 11, 12"
YCCS CHTR - HOUSTON,Network 9,400129,Charter,"4701 S King Dr, 60615",-87.6164773,41.80933109,-87.6164773,41.80933109,"10, 11, 12"
YCCS CHTR - INNOVATIONS,Network 6,400133,Charter,"17 N. State St., 60602",-87.62773415,41.88304717,-87.62773415,41.88304717,"10, 11, 12"
YCCS CHTR - LATINO YOUTH,Network 7,400135,Charter,"2001 S California Ave, 60608",-87.69543001,41.85466466,-87.69543001,41.85466466,"10, 11, 12"
YCCS CHTR - MCKINLEY,Network 9,400124,Charter,"2920 S Wabash Ave, 60616",-87.62533077,41.84133117,-87.62533077,41.84133117,"10, 11, 12"
YCCS CHTR - SULLIVAN,Network 12,400139,Charter,"8164 S South Chicago Ave, 60617",-87.57849167,41.74628657,-87.57849167,41.74628657,"10, 11, 12"
YCCS CHTR - TRUMAN,Network 2,400141,Charter,"1145 W Wilson Ave, 60640",-87.65923929,41.96529482,-87.65923929,41.96529482,"10, 11, 12"
YCCS CHTR - WEST TOWN,Network 5,400143,Charter,"500 N Sacramento Blvd, 60612",-87.7020528,41.89080312,-87.7020528,41.89080312,"10, 11, 12"
YCCS CHTR - WESTSIDE HOLISTIC,Network 3,400144,Charter,"4909 W Division St, 60651",-87.74881029,41.90224003,-87.74881029,41.90224003,"10, 11, 12"
YCCS CHTR - YOUTH DEVELOPMENT,Network 11,400130,Charter,"7836 S Union Ave, 60620",-87.64173119,41.75137711,-87.64173119,41.75137711,"10, 11, 12"
YOUNG WOMEN'S LEADERSHIP CHTR,Network 9,400087,Charter,"2641 S Calumet Ave, 60616",-87.6187238,41.84454381,-87.6187238,41.84454381,"7, 8, 9, 10, 11, 12"
