school_nm,network_num,school_id,y,sch_type,sch_addr,x,grades,lon,lat
ALCOTT PREP HS,Network 4,610524,41.93579456,District,"2957 N Hoyne Ave, 60618",-87.68056201,"9, 10, 11, 12",-87.68056201,41.93579456
AMUNDSEN HS,Network 2,609695,41.97506726,District,"5110 N Damen Ave, 60625",-87.67948422,"9, 10, 11, 12",-87.67948421,41.97506726
AUSTIN BUS & ENTRP HS,Network 3,400018,41.88420467,District,"231 N Pine Ave, 60644",-87.76189102,"9, 10, 11, 12",-87.76189102,41.88420467
AUSTIN POLY HS,Network 3,610501,41.88512294,District,"231 N Pine Ave, 60644",-87.76190895,"9, 10, 11, 12",-87.76190895,41.88512294
BOGAN HS,Network 10,609698,41.74937561,District,"3939 W 79th St, 60652",-87.72109745,"9, 10, 11, 12",-87.72109745,41.74937561
BOWEN HS,Network 12,610323,41.73462672,District,"2710 E 89th St, 60617",-87.55755003,"9, 10, 11, 12",-87.55755003,41.73462672
BRONZEVILLE HS,Network 9,610381,41.80520417,District,"4934 S Wabash Ave, 60615",-87.62500447,"9, 10, 11, 12",-87.62500447,41.80520417
BROOKS HS,Network 13,609726,41.69276253,District,"250 E 111th St, 60628",-87.61635261,"9, 10, 11, 12",-87.61635261,41.69276253
CHGO AG HS,Network 10,609753,41.69122074,District,"3857 W 111th St, 60655",-87.71776967,"9, 10, 11, 12",-87.71776967,41.69122074
CHICAGO VOCATIONAL HS,Network 12,609674,41.73717393,District,"2100 E 87th St, 60617",-87.57326752,"9, 10, 11, 12",-87.57326752,41.73717393
CLARK HS,Network 3,610244,41.87288501,District,"5101 W Harrison St, 60644",-87.75332487,"8, 9, 10, 11, 12",-87.75332487,41.872885
CLEMENTE HS,Network 3,609759,41.90262579,District,"1147 N Western Ave, 60622",-87.68690615,"9, 10, 11, 12",-87.68690615,41.90262579
CORLISS HS,Network 13,609761,41.70665962,District,"821 E 103rd St, 60628",-87.60121588,"9, 10, 11, 12",-87.60121588,41.70665962
CURIE HS,Network 8,609756,41.80306021,District,"4959 S Archer Ave, 60632",-87.72204165,"9, 10, 11, 12",-87.72204165,41.80306021
DOUGLASS HS,Network 3,610245,41.89036863,District,"543 N Waller Ave, 60644",-87.76766846,"9, 10, 11, 12",-87.76766846,41.89036863
DUNBAR HS,Network 9,609676,41.84022557,District,"3000 S King Dr, 60616",-87.61763744,"9, 10, 11, 12",-87.61763743,41.84022557
FARRAGUT HS,Network 7,609704,41.84855988,District,"2345 S Christiana Ave, 60623",-87.70870563,"PK, 9, 10, 11, 12",-87.70870563,41.84855987
FENGER HS,Network 13,609705,41.68995073,District,"11220 S Wallace St, 60628",-87.63757205,"9, 10, 11, 12",-87.63757205,41.68995072
FOREMAN HS,Network 3,609708,41.93979677,District,"3235 N LeClaire Ave, 60641",-87.75416654,"9, 10, 11, 12",-87.75416654,41.93979677
GAGE PARK HS,Network 8,609709,41.79101284,District,"5630 S Rockwell St, 60629",-87.68895394,"9, 10, 11, 12",-87.68895394,41.79101284
GEORGE WESTINGHOUSE HS,Network 5,609693,41.8899772,District,"3223 W Franklin Blvd, 60624",-87.70733231,"9, 10, 11, 12",-87.70733231,41.8899772
HANCOCK HS,Network 8,609694,41.79146391,District,"4034 W 56th St, 60629",-87.72447046,"9, 10, 11, 12",-87.72447046,41.79146391
HARLAN HS,Network 12,609710,41.71837235,District,"9652 S Michigan Ave, 60628",-87.62062344,"7, 8, 9, 10, 11, 12",-87.62062344,41.71837235
HARPER HS,Network 11,609711,41.77512408,District,"6520 S Wood St, 60636",-87.6690893,"9, 10, 11, 12",-87.6690893,41.77512408
HIRSCH HS,Network 12,609712,41.75374796,District,"7740 S Ingleside Ave, 60619",-87.60172727,"9, 10, 11, 12",-87.60172727,41.75374796
HOPE PREP HS,Network 11,609768,41.79355347,District,"5515 S Lowe Ave, 60621",-87.64124411,"9, 10, 11, 12",-87.64124411,41.79355347
HUBBARD HS,Network 10,609741,41.78052639,District,"6200 S Hamlin Ave, 60629",-87.71801374,"9, 10, 11, 12",-87.71801374,41.78052639
